CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL98	11305	CHEMBL98	11305	VORINOSTAT	SAHA	264.32	2.01	78.43	0	ONC(=O)CCCCCCC(=O)Nc1ccccc1	15077081	IC50	=	240	nM	6.62			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1433099	CHEMBL3386356	B	Inhibition of HDAC2 (unknown origin) using fluorogenic peptide as substrate by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89385	CHEMBL3351740	25238284	J. Med. Chem.	2014	57	19	8026			
CHEMBL98	11305	CHEMBL98	11305	VORINOSTAT	SAHA	264.32	2.01	78.43	0	ONC(=O)CCCCCCC(=O)Nc1ccccc1	14977309	IC50	=	174.6	nM	6.76			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1444505	CHEMBL3374205	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89924	CHEMBL3351443	25462271	Eur. J. Med. Chem.	2015	89		628			
CHEMBL3354913	1819036	CHEMBL3354913	1819036		7h	485.53	4.36	112.68	0	COc1ccc(cc1)C(=O)N[C@H](COc2cccc(\C=C\C(=O)NO)c2)Cc3c[nH]c4ccccc34	14977311	IC50	=	864.5	nM	6.06			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1444505	CHEMBL3374205	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89924	CHEMBL3351443	25462271	Eur. J. Med. Chem.	2015	89		628			
CHEMBL3427743	1845139	CHEMBL3427743	1845139		3a	241.29	2.58	71.77	0	NC(=O)C1CCCc2c1[nH]nc2c3ccccc3	15255894	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL3427746	1845142	CHEMBL3427746	1845142		3c	275.73	3.25	71.77	0	NC(=O)C1CCCc2c1[nH]nc2c3cccc(Cl)c3	15255897	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL3427759	1845155	CHEMBL3427759	1845155		3o	297.37	3.74	100.01	0	NC(=O)C1CCCc2c1[nH]nc2c3cc4ccccc4s3	15255909	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL3427748	1845144	CHEMBL3427748	1845144		3e	310.18	3.91	71.77	0	NC(=O)C1CCCc2c1[nH]nc2c3ccc(Cl)c(Cl)c3	15255946	IC50	>	10000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL3427768	1845164	CHEMBL3427768	1845164		9	289.76	3.7	71.77	0	NC(=O)C1CCCCc2c1[nH]nc2c3ccc(Cl)cc3	15255995	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL3427775	1845171	CHEMBL3427775	1845171		13f, mixture of diastereomers	351.83	4.53	71.77	0	NC(=O)C1CC(Cc2c1[nH]nc2c3ccc(Cl)cc3)c4ccccc4	15256002	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL3427776	1845172	CHEMBL3427776	1845172		13g	333.77	1.74	90.23	0	NC(=O)C1CC2(Cc3c1[nH]nc3c4ccc(Cl)cc4)OCCO2	15256003	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL356066	234707	CHEMBL356066	234707	DACINOSTAT	24, LAQ-824	379.45	3.05	88.59	0	OCCN(CCc1c[nH]c2ccccc12)Cc3ccc(\C=C\C(=O)NO)cc3	1998282	IC50	=	7	nM	8.15			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	451041	CHEMBL900122	B	Inhibition of human recombinant HDAC2	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	37159	CHEMBL1138236	17941625	J. Med. Chem.	2007	50	23	5543			
CHEMBL272980	434834	CHEMBL272980	434834	MOCETINOSTAT	1f	396.44	2.8	105.82	0	Nc1ccccc1NC(=O)c2ccc(CNc3nccc(n3)c4cccnc4)cc2	2106266	IC50					Not Determined		0	BAO_0000190			464924	CHEMBL946981	B	Inhibition of HDAC2	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			38494	CHEMBL1142268	18247554	J. Med. Chem.	2008	51	6	1505			
CHEMBL484073	499961	CHEMBL484073	499961		27	327.38	2.04	91.32	0	ONC(=O)CCCCCNC(=O)\C=C\c1ccc2cccnc2c1	2306399	IC50	=	2.5	nM	8.6			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	521104	CHEMBL960365	B	Inhibition of human recombinant HDAC2	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	46897	CHEMBL1137690	18672316	Eur. J. Med. Chem.	2009	44	3	1067			
CHEMBL272980	434834	CHEMBL272980	434834	MOCETINOSTAT	8, MGCD0103	396.44	2.8	105.82	0	Nc1ccccc1NC(=O)c2ccc(CNc3nccc(n3)c4cccnc4)cc2	2450738	IC50	=	290	nM	6.54			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	492122	CHEMBL947464	B	Inhibition of human recombinant HDAC2 homogeneous fluorescence release assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	43784	CHEMBL1155041	18570366	J. Med. Chem.	2008	51	14	4072			
CHEMBL538713	554214	CHEMBL538713	554214		3l	278.31	3.12	65.12	0	ONC(=O)\C=C\c1ccc(cc1)c2ccc3[nH]ccc3c2	2657777	IC50	=	1200	nM	5.92			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	571846	CHEMBL1034714	B	Inhibition of HDAC2 in human HeLa cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	47282	CHEMBL1158371	19084294	Eur. J. Med. Chem.	2009	44	5	1900	308	CHEMBL3308376	HeLa
CHEMBL1767037	1142076	CHEMBL1767037	1142076		21	425.48	3.29	128.09	0	CNC(=O)\C(=N/O)\CCCCCCC(=O)Nc1cccc(c1)c2ccc(cc2)C(=O)O	6174073	IC50	>	100000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	743697	CHEMBL1767466	B	Inhibition of human HDAC2 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			57316	CHEMBL1765034	21417297	J. Med. Chem.	2011	54	7	2165			
CHEMBL1767038	1142077	CHEMBL1767038	1142077		22	382.46	2.51	103.68	0	CNC(=O)\C(=N/O)\CCCCCCC(=O)Nc1cccc(c1)c2cccnc2	6174074	IC50	>	100000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	743697	CHEMBL1767466	B	Inhibition of human HDAC2 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			57316	CHEMBL1765034	21417297	J. Med. Chem.	2011	54	7	2165			
CHEMBL1767041	1142080	CHEMBL1767041	1142080		30	487.55	3.37	155.15	0	CNC(=O)\C(=N\O)\CCCCCCNC(=O)c1cc(on1)c2cccc(NC(=O)OC(C)(C)C)c2	6174077	IC50	>	100000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	743697	CHEMBL1767466	B	Inhibition of human HDAC2 using ArgHisLysLys(Ac) fluorogenic peptide as a substrate by fluorimetric assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			57316	CHEMBL1765034	21417297	J. Med. Chem.	2011	54	7	2165			
CHEMBL1800376	1161440	CHEMBL1800376	1161440		22	276.31	2.71	108.61	0	Cc1cc(O)nc(SCC(=O)c2ccc(O)cc2)n1	6283045	IC50	>	100000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	757634	CHEMBL1804891	B	Inhibition of recombinant HDAC2 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			58268	CHEMBL1800036	21696956	Bioorg. Med. Chem. Lett.	2011	21	14	4164			
CHEMBL1834362	1178406	CHEMBL1834362	1178406	N-(PHENYLCARBAMOTHIOYL)BENZAMIDE	TM-2-51	256.32	3.77	73.22	0	O=C(NC(=S)Nc1ccccc1)c2ccccc2	6377123	Inhibition	=	8	%				0	BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	771822	CHEMBL1838694	B	Inhibition of HDAC2 using Fluor-de-Lys as substrate at 100 uM by spectrofluorometry	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			59110	CHEMBL1833857	21865040	Bioorg. Med. Chem. Lett.	2011	21	19	5920			
CHEMBL1800384	1161448	CHEMBL1800384	1161448		31	331.43	3.57	100.41	0	Cc1cc(O)nc(SCC(=O)NCCCCc2ccccc2)n1	6283054	IC50	>	100000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	757634	CHEMBL1804891	B	Inhibition of recombinant HDAC2 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			58268	CHEMBL1800036	21696956	Bioorg. Med. Chem. Lett.	2011	21	14	4164			
CHEMBL98	11305	CHEMBL98	11305	VORINOSTAT	SAHA	264.32	2.01	78.43	0	ONC(=O)CCCCCCC(=O)Nc1ccccc1	3311479	Ki	=	40	nM	7.4			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	633817	CHEMBL1119895	B	Inhibition of HDAC2	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			51319	CHEMBL1155491	20451378	Bioorg. Med. Chem. Lett.	2010	20	11	3314			
CHEMBL2047612	1351036	CHEMBL2047612	1351036		6d	425.48	5.22	65.38	1	COc1ccc(NC(=O)\C=C/c2cn(nc2c3ccc(OC)cc3)c4ccccc4)cc1	10947979	IC50	=	3020	nM	5.52			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	827843	CHEMBL2051252	B	Inhibition of HDAC2 in human HeLa cell lysate using KI-104 as substrate after 40 mins by fluorescence analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	62524	CHEMBL2046430	22705022	Bioorg. Med. Chem.	2012	20	14	4430			
CHEMBL2022823	1338195	CHEMBL2022823	1338195		1	559.74	7.46	130.92	2	O=C(N[C@@H](CCCCCCSSc1ccccn1)C(=O)Nc2cccc3ccccc23)OCc4ccccc4	10862518	IC50	=	38.2	nM	7.42			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	816365	CHEMBL2024763	B	Inhibition of HDAC2 in human HeLa cell nuclear extracts in presence of dithiothreitol by HDAC fluorescent assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	61731	CHEMBL2021837	22465091	Eur. J. Med. Chem.	2012	52		111			
CHEMBL356769	239841	CHEMBL356769	239841	TUBACIN	Tubacin	721.86	7.18	168.45	2	OCc1ccc(cc1)[C@@H]2C[C@H](CSc3oc(c4ccccc4)c(n3)c5ccccc5)O[C@@H](O2)c6ccc(NC(=O)CCCCCCC(=O)NO)cc6	14992236	IC50	=	6270	nM	5.2			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1431996	CHEMBL3388101	B	Inhibition of full length C-terminal 6x-His tagged human HDAC2 using Arg-His-Lys-Lys(Ac) substrate incubated for 2 hrs by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		89845	CHEMBL3351349	25454270	Bioorg. Med. Chem. Lett.	2014	24	23	5450			
CHEMBL3309299	1778387	CHEMBL3309299	1778387		42	399.48	2.38	107.52	0	CC1(C)CC(=O)Nc2ccc(cc12)C(=O)NC[C@@H]3CC[C@@H](CC3)\C=C\C(=O)NO	15053565	IC50	=	310	nM	6.51			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1450057	CHEMBL3373319	B	Inhibition of human HDAC2 pre-incubated for 30 mins before substrate addition and measured after 30 mins by HDAC-Glo I/II assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl		90190	CHEMBL3351757	24864038	Bioorg. Med. Chem.	2014	22	14	3720			
CHEMBL3356525	1820664	CHEMBL3356525	1820664		144, ST8023	377.5	2.04	126.1	0	SCCCCC[C@@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)Nc2ccccc2	15067391	Inhibition					Not Active		0	BAO_0000376			1443008	CHEMBL3379486	B	Inhibition of HDAC2 (unknown origin) using fluorogenic tetrapeptide RHKK(Ac) substrate at <50 uM by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			89379	CHEMBL3352570	25233084	J. Med. Chem.	2014	57	20	8358			
CHEMBL3427754	1845150	CHEMBL3427754	1845150		3j	255.31	3.07	71.77	0	Cc1ccc(cc1)c2n[nH]c3C(CCCc23)C(=O)N	15255904	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL3427764	1845160	CHEMBL3427764	1845160		3t	328.8	4.04	76.69	0	Cn1c(cc2cc(Cl)ccc12)c3n[nH]c4C(CCCc34)C(=O)N	15255968	Inhibition					Not Active		0	BAO_0000376			1476848	CHEMBL3429771	B	Inhibition of HDAC2 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			91838	CHEMBL3425433	25971769	Bioorg. Med. Chem. Lett.	2015	25	12	2514			
CHEMBL404054	436479	CHEMBL404054	436479		17	466.54	4.01	143.87	0	Nc1ccccc1NC(=O)c2ccc(CNc3nc(N)nc(NC4Cc5ccccc5C4)n3)cc2	2097996	Activity					Active		0	BAO_0000375			468079	CHEMBL931663	B	Activity against HDAC2	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			38730	CHEMBL1143113	18160287	Bioorg. Med. Chem. Lett.	2008	18	3	1067			
